"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2021-04-21T09:23:38.6703334+03:00[Europe/Athens]","0.0","0.21"
"Random string generation story","Generating 1 uppercase string should see 1 uppercase string","SUCCESS","2021-05-11T21:43:12.7002171+03:00[Europe/Athens]","0.0","9.67"
"Random string generation story","Generating 1 numeric string should see 1 numeric string","SUCCESS","2021-05-11T21:43:23.2404542+03:00[Europe/Athens]","0.0","3.27"
"Random string generation story","Generating with all filters disabled should see error message","SUCCESS","2021-05-11T21:43:26.5818072+03:00[Europe/Athens]","0.0","4.02"
"Random string generation story","Using invalid input should see error message","SUCCESS","2021-05-11T21:43:30.6663641+03:00[Europe/Athens]","0.0","4.01"
"Search by keyword story","Searching by keyword tomato should display the corresponding article","SUCCESS","2021-05-11T21:43:38.8923262+03:00[Europe/Athens]","0.0","7.27"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2021-05-11T21:43:46.2710985+03:00[Europe/Athens]","0.0","4.08"
"Search by keyword story","Searching by keyword orange should display the corresponding article","SUCCESS","2021-05-11T21:43:50.4387992+03:00[Europe/Athens]","0.0","4.49"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2021-05-11T21:43:55.018566+03:00[Europe/Athens]","0.0","6.6"
